id,human_readable_id,community,level,parent,children,title,entity_ids,relationship_ids,text_unit_ids,period,size
1bc9c7d6-9211-4bf0-aa99-11027f76165c,98,98,1,21,[],Community 98,"['39af0b53-7494-4d28-9857-a779613e91c4'
 '7954fa11-8845-4720-8c12-031d1d7d70b3'
 'cff0c874-b504-4faf-a3c8-a3f691b78ecc'
 '3262dfd6-f16e-432a-bc92-7fa3793b722c'
 '24ed5ff1-1d04-44bb-82b7-233016dfbdee']","['28ed8034-eaf7-460d-b74c-811e4d497f42'
 'a915a7c7-e80d-4779-8c9f-8153d4fe2ab8'
 'e3ab7ae0-65c4-4c34-8a66-0c70dc0e0214'
 'ee81b8cf-6289-410a-bbff-507cb98ae5c6']",['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],2026-08-11,5
0b132f53-499e-4336-b1b8-8f05218d248a,99,99,1,21,[],Community 99,"['2864cd38-b94f-4c49-af48-0047c58cac09'
 '55da6af0-9ad4-4928-9b49-eff4dd6017a1'
 '88f4ab57-067c-4b3f-a104-87ebf2a6b9fe'
 '0cdefbbe-013b-42f5-ad93-869ad9191898']","['04b77703-1f2b-4e7c-8d18-deaa16ecd8d4'
 '4d5b02f4-66dd-40be-94e0-54e7f107b382'
 '7c4e5916-24d2-4b3e-a3cd-2b31af66173c']",['e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757'],2026-08-11,4
fbe001ae-939d-4626-9072-f1ca3fe11967,100,100,1,21,[],Community 100,"['89732bdd-9bbf-4924-8d42-51f5dfec4eb4'
 '57e52274-023c-4fd7-b28f-d9ca6273655b'
 'd207c851-dabb-4ee8-9bb0-2757c24eba18'
 '53d9adc5-be63-48f4-93a1-c54e29ee66b3'
 'f3258cb9-96a6-400d-b1f7-5e0d9ebe9bd1']","['1ca6c2ce-bbc8-4469-8c19-d66e7c51e97d'
 '597671e0-7a37-4c0b-a17b-001abe3e86c1'
 '798eaa18-d86a-48bc-ab2c-1e39d55699d4'
 'a24fdd03-a4e8-49e2-ac06-c0b6712d22b5']","['dafd7f2f39e49c87969ec1360e9fae0af9de6f290655205c8c120dd24dcc85da04f0536237f7f9529d31deed892d5abae3b8f58fb66ae9e497327f23b1e6b750'
 'e498566a78d36b3ce13304157993b9b4269045840f1d63663ab07328cc5c6a9ebc15f47c9ae340cbebf706bc8faebd35ccc4f11ae0aa4cb9a223345224329757']",2026-08-11,5
7c38d6f8-b56b-4fce-99ca-5548204a2dea,101,101,2,30,[],Community 101,"['62978763-7c39-449b-b4bf-98db19fe66c1'
 'd9ba7528-1ac5-405a-9d89-863814fcfac6']",['0ffa73b9-34af-4954-b37a-08ce1fbcde59'],['4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'],2026-08-11,2
82c94397-c207-4567-8864-bd43a589e6a9,102,102,2,30,[],Community 102,"['390e75de-62c8-4a9d-94f0-156f4c5963ef'
 '241605de-88e2-42f5-a90f-5921e09d0042'
 '590772cd-76de-4c00-b933-869e88263e1b'
 'fd20abce-8b71-49b5-a570-f69282b00a9e'
 'b3e56fed-6927-4b07-b7e6-442024cd824a'
 'd5700e39-d8b3-470e-8709-c0d089f3dba2'
 '36a413dc-a5fe-4bf5-90d3-1263e8492042'
 '90631b55-db8b-48c9-9ee2-9436949b7b0a'
 'e285d7aa-2d80-4807-962b-b1ddb570cae7'
 '7f944a53-54be-43c5-9c19-5a6e7deec543']","['07f93708-ff3c-4208-9ea2-8480c5f92262'
 '0f5b9438-0fb1-4f42-9631-19e5a372eda0'
 '2537a6a1-a1de-4734-968f-863d2db319c9'
 '395e28f9-7a2f-4bb0-a548-69c56799accf'
 '3cada27b-4230-4134-a993-8f83050c8b34'
 '6cb96dc2-b663-491d-9d99-33e8da1e6ac4'
 '6ea2af3e-ad50-46d1-a713-ccdf06f4b84d'
 'bbc8ada5-5e1d-4fb0-ac12-76d09276f37a'
 'c5f9c9b0-f67f-41f7-844a-25999597e9a2']",['4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'],2026-08-11,10
a28565f5-42e7-494b-9e7c-3eb4320da837,103,103,2,30,[],Community 103,"['0cd99028-17f6-472f-bf83-f0591c535e73'
 'db571db9-c79b-4a28-8cc6-d1bc4c6bdb2d'
 '96e587ee-8d6e-440f-bccb-831105967350']","['462b8dda-2315-4e55-85d3-0664dbaa7495'
 'd617a3bd-c398-4f3c-a6a6-98186f6b765d']",['4d221520fe7090409cfa9cda598db30683356c340ab3584a063ffe92486f2fe7225fc056f8b997f085ff0c0f7475828879fa678b7b1709148cb03584b292dab0'],2026-08-11,3
81ae375f-e08a-4edc-a3e2-8c668ac76b96,104,104,2,62,[],Community 104,"['2176c9e5-6769-48de-92c7-136057339dd2'
 '959fab6f-9bc3-47e5-b64b-b24b28248625']",['8320ef95-f188-420a-b050-ac087693577f'],['d7219f76b31818b7b13bf08dda81003d752e53f7660831d5e201d105d2bc1fc19e8cc49ca6cd21e08570939d7fb3e87b45f0f5feb8575df195e7be8cbd3b6475'],2026-08-11,2
abfc65f5-aa66-4a4b-a272-34755bbfe481,105,105,2,62,[],Community 105,"['3e24e4e1-3ba2-40e9-9be3-55e4772fe719'
 '32e85cbb-1796-4db5-af13-19e865dcf23d'
 'c52ca160-733d-4f01-bc20-b5cb529fdbe1'
 'b4567e77-f470-4326-b869-038e7a6a880a'
 '5c0a791b-d8ec-4f5a-bdae-10f247186515'
 '21edf77a-8c03-40a2-a00c-e757f1ac4c88']","['0ac798ef-4e6a-487d-9615-c27e121cfaa9'
 '2ae38197-1a9a-42be-8007-156af0095f26'
 '31d805be-f4c9-4608-aa67-75ffc17968e3'
 '54195639-6700-4bc6-8e41-573301569e84'
 'f6938c16-9a77-4853-b5d7-2f3d65be50bf']","['23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'
 '50fb8f6506c2271985ee7ffe42523d2eb06abbd85be8ea5021ae2d36d260f6f63d177e59ca2da764eeaeb4a953c841282dbf214859a753f968cb6e6cb86e0c72'
 'f9e54ba797ff2b80a5f0e5f24e3901236ac4130e4e84d01615e67bc810b290cd5ac7c08f71a782797073050d512eda2695c3659569deba0d4bd5c3ab6195784a']",2026-08-11,6
969776f0-70c9-47f2-8c28-fe352544d5db,106,106,2,62,[],Community 106,"['eeecdfd2-8eb1-4083-b408-c4cae83acaa3'
 '3b8c61cf-3b02-45b6-9267-a490a9b08d4b']",['ac68297e-2769-49d5-9bf7-4f064d13bb36'],['23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'],2026-08-11,2
011916a3-1575-489b-bef6-dd0e38b2459c,107,107,2,97,[],Community 107,"['10636111-e22e-47e8-878c-b526cf785bbb'
 'fbf24db5-365d-4eb4-ae70-ce610572f12b'
 'acbde03e-cdee-44db-9088-70b0b90fb153'
 '50c6d57c-3aed-4c09-a0d1-db5b132b6f28'
 '4afaa4b0-30f7-48af-9662-e3a7069adfbc'
 'f24880af-f419-462a-9599-6927bf3672aa']","['45a29635-026b-4c58-8ea1-af05f78ec74c'
 '5af51e69-5a81-47c5-aa7a-cb3d0d9f5bcb'
 '7e556673-32c2-439a-902a-39386ac580fa'
 '7fdfeaa4-a4b2-450d-8fcf-725f1e81b27f'
 'e29296cf-8316-4f74-a76d-5dc423a1fe73']","['23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'
 '6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302']",2026-08-11,6
7d37ff9e-2d74-4ab2-9c65-62db0bb8d507,108,108,2,97,[],Community 108,"['d304517a-1c3a-401d-8ac4-4ee9b88b4d70'
 'fb5889fd-c3e0-43b2-8c85-e3a8340a77b7']",['ee194553-0b8a-4000-95b5-9434e09d429c'],['23663988970639bea940978ccbd9150fd292856f2f31a1d587392606a64713d5dfeade66f1beea67d1cc0b0e93012337685e0eca3267f98c1695a466657a8b24'],2026-08-11,2
3388acf8-289e-4ff6-905e-c7f7589912a8,109,109,2,97,[],Community 109,"['2e799e3b-35d1-437c-9058-6665b848d2a9'
 '5b81ac85-45de-4a0c-ab31-6c2bb08303b9']",['3894dc20-61be-45be-8bd8-ac643cce4731'],['6a1a5132f360531b1174e0eac2b2c5b6ece3b0771a8037231306baf0af8e8ca23de435f581fc62d6794cab81a5dadf3235b66eda56c331a0043621c688fbe302'],2026-08-11,2
